,Name,group
0,MML,Current Rail Infrastructure
1,MVL,Current Rail Infrastructure
2,ECML,Current Rail Infrastructure
3,Bromham Bridge - Sect C/D,Route Proposal
4,Clapham Green (Start of Sect D),Land Usage Notes
5,Alignment 1,Route Proposal
6,Original RA1 Wilden - Colesden,Route Proposal
7,Alignment 2,Route Proposal
8,Alignment 6,Route Proposal
9,Alignment 8,Route Proposal
10,Alignment 9,Route Proposal
11,Align 9 Extension,Route Proposal
12,Align 1 2 & 9 extension,Route Proposal
13,Varsity Line Midland Stn - Tempsford (A),Route Proposal
14,Last section to S Cambridge,Route Proposal
15,Jet/Tom Route_1,Route Proposal
16,Southern Alt_1.,Route Proposal
17,Southern Alt_2.,Route Proposal
18,Triangular leg_1,Route Proposal
19,Triangular leg_1b,Route Proposal
20,St Neots S (A),Possible Rail Crossing
21,St Neots S (B) 6,Possible Rail Crossing
22,Tempsford (A),Possible Rail Crossing
23,Tempsford A Station,Possible Station
24,Tempsford (B) 8,Possible Rail Crossing
25,MOD Bassingbourn,Land Usage Notes
26,MVL,Current Rail Infrastructure
27,MML,Current Rail Infrastructure
28,ECML,Current Rail Infrastructure
29,Midland Rd Station,Current Rail Infrastructure
30,Bedford Carriage Siding L/C,Current Rail Infrastructure
31,Bromham Rd Bridge,Current Rail Infrastructure
32,Fairhill Turnout,Route Proposal
33,Kempston Hardwick,Land Usage Notes
34,County Wildlife Site,Land Usage Notes
35,Wixams Ext 1,Land Usage Notes
36,Wixams Ext 2,Land Usage Notes
37,Wixams Ext 3,Land Usage Notes
38,Wixams Ext 1,Land Usage Notes
39,Wixams Ext 2,Land Usage Notes
40,Wixams Ext 3,Land Usage Notes
41,Pear Tree Farm Industrial Proposal,Land Usage Notes
42,Pear Tree Farm EMP5 Policy,Land Usage Notes
43,Abbey Fields 400 Residential Proposal,Land Usage Notes
44,Abbey Fields HOU5 400 Policy,Land Usage Notes
45,Willington Quarry N,Land Usage Notes
46,Willington Quarry S,Land Usage Notes
47,Science Campus to MML 4.4m,Land Usage Notes
48,EMP6 - CforS 761,Land Usage Notes
49,EMP6 - CforS 764 Total Site,Land Usage Notes
50,Wixam Station,Possible Station
51,Wixams MML Station,Possible Station
52,McDonalds D/T,Land Usage Notes
53,McDonalds D/T,Land Usage Notes
54,Elstow Solar Farm,Land Usage Notes
55,EMP6 Science Campus,Land Usage Notes
